date,dy
2016-08-31,2.614132018417353
2016-09-30,2.549913108807456
2016-10-31,2.571196572939081
2016-11-30,2.6899783332162706
2016-12-31,2.327609690238534
2017-01-31,2.182367860692106
2017-02-28,2.14502798781653
2017-03-31,2.0687890890920904
2017-04-30,2.0341887571309414
2017-05-31,1.977903200217372
2017-06-30,1.740678360200953
2017-07-31,1.6449016275427089
2017-08-31,1.6071088660850628
2017-09-30,1.607825677158273
2017-10-31,1.556756494713525
2017-11-30,1.5628349056752031
2017-12-31,2.277199203274454
2018-01-31,2.102716227075219
2018-02-28,2.234519286805573
2018-03-31,2.222486011116339
2018-04-30,2.2869058101550164
2018-05-31,2.348470580884805
2018-06-30,2.731523727207973
2018-07-31,2.638362408371261
2018-08-31,2.741647202135452
2018-09-30,2.7576174059271645
2018-10-31,3.0223930506114143
2018-11-30,2.881132818602726
2018-12-31,2.643505711173103
2019-01-31,2.395715118494984
2019-02-28,2.432972073166121
2019-03-31,2.405762308048105
2019-04-30,2.350451498427365
2019-05-31,2.5363621710567097
2019-06-30,2.445494715769555
2019-07-31,2.5122384674137166
2019-08-31,2.611002989613807
2019-09-30,2.567560531168672
2019-10-31,2.4644477917341545
2019-11-30,2.466764495201919
2019-12-31,3.1724060932015776
2020-01-31,3.380332918407224
2020-02-29,3.5129764885879635
2020-03-31,4.170695709666149
2020-04-30,3.884985003073963
2020-05-31,3.772750052867017
2020-06-30,3.3078251307697792
2020-07-31,3.055669330855205
2020-08-31,2.9699124622095434
2020-09-30,3.0002244157768856
2020-10-31,2.958620643987715
2020-11-30,2.714548061656112
2020-12-31,1.6375212534061534
2021-01-31,1.5871454269765934
2021-02-28,1.5747389695768603
2021-03-31,1.5862528636568511
2021-04-30,1.5674458690882451
2021-05-31,1.542021712846486
2021-06-30,1.5499373270581558
2021-07-31,1.6565709209830162
2021-08-31,1.630968363889278
2021-09-30,1.6966860493487248
2021-10-31,1.6786931922787816
2021-11-30,1.750185468526661
2021-12-31,2.2096990987710137
2022-01-31,2.210151270839169
2022-02-28,2.3099465532273387
2022-03-31,2.390781388127137
2022-04-30,2.5470453553338586
2022-05-31,2.53151482348728
2022-06-30,3.000774635769606
2022-07-31,3.011288252219696
2022-08-31,3.0517640997584614
2022-09-30,3.449858654404837
2022-10-31,3.519481508319372
2022-11-30,3.0448143438486084
2022-12-31,2.701756421170661
2023-01-31,2.4757388434715657
2023-02-28,2.678434885938078
2023-03-31,2.5949457682900565
2023-04-30,2.616830119034492
2023-05-31,2.681240158408271
2023-06-30,2.4270925964877503
2023-07-31,2.288814566814129
2023-08-31,2.451258243276021
2023-09-30,2.530060388274028
2023-10-31,2.6162341622469563
2023-11-30,2.4270925964877503
2023-12-31,2.77344857454796
2024-01-31,2.904932895494273
2024-02-29,2.78870623070153
2024-03-31,2.714711641782396
2024-04-30,2.720672545224644
2024-05-31,2.668589794659286
2024-06-30,2.551349178071402
2024-07-31,2.529964008475813
2024-08-31,2.5054635870740194
2024-09-30,2.369427631463798
2024-10-31,2.4445883956527625
2024-11-30,2.51183424922821
2024-12-31,2.503493221704893
2025-01-31,2.450750639942682
2025-02-28,2.4229595847203296
2025-03-31,2.39579132243325
2025-04-30,2.3925063166637424
2025-05-31,2.3000017513112185
2025-06-30,2.491890642406403
2025-07-31,2.4754695993293825
2025-08-31,2.4109266380955203
2025-09-30,2.251101202611054
2025-10-31,2.173757806316764
2025-11-30,2.212975258419186
2025-12-31,2.232343767456341
2026-01-31,2.0665233683170503
2026-02-28,1.951606309356094
2026-03-31,2.1505815797757464
2026-04-30,1.9086032381870983
2026-05-31,1.7803429720029358
2026-06-30,
