date,dy
2016-08-31,2.361649873116159
2016-09-30,2.387973717474386
2016-10-31,2.430104293164636
2016-11-30,2.3437636840770395
2016-12-31,2.3579766551769947
2017-01-31,2.316523092931724
2017-02-28,2.228944107560742
2017-03-31,2.217824238611635
2017-04-30,2.196026617265654
2017-05-31,2.165464602578211
2017-06-30,2.2017108335023874
2017-07-31,2.157367843242382
2017-08-31,2.151092148882625
2017-09-30,2.178329045105353
2017-10-31,2.128180768754171
2017-11-30,2.065059829711152
2017-12-31,2.04970577607406
2018-01-31,1.9403489206317648
2018-02-28,2.013563663755257
2018-03-31,2.0979045898586226
2018-04-30,2.0871176393667845
2018-05-31,2.0375864717285657
2018-06-30,2.052165273068321
2018-07-31,1.978855238903867
2018-08-31,1.917644251215852
2018-09-30,1.9403453050297508
2018-10-31,2.0843848127278566
2018-11-30,2.046425385390564
2018-12-31,2.281577690139245
2019-01-31,2.112443022973809
2019-02-28,2.0461176149147726
2019-03-31,2.063322866184436
2019-04-30,1.9823390410990556
2019-05-31,2.117365632967412
2019-06-30,2.0499205010779624
2019-07-31,2.0193888111403355
2019-08-31,2.053775414913781
2019-09-30,2.0372370803590982
2019-10-31,1.9931780626278184
2019-11-30,1.9235487379541176
2019-12-31,1.9152530891884847
2020-01-31,1.9160267922460408
2020-02-29,2.080751045526496
2020-03-31,2.450855229060684
2020-04-30,2.174703114558593
2020-05-31,2.0758017482507536
2020-06-30,2.01638785577834
2020-07-31,1.9042436934151457
2020-08-31,1.7800048913960191
2020-09-30,1.8347142648621408
2020-10-31,1.8816302737928348
2020-11-30,1.6970324564337496
2020-12-31,1.6392866146898637
2021-01-31,1.6561632309708716
2021-02-28,1.61135884464955
2021-03-31,1.5067131862666618
2021-04-30,1.430998469605438
2021-05-31,1.421663634942804
2021-06-30,1.3929781465073572
2021-07-31,1.359782656447997
2021-08-31,1.320485001991038
2021-09-30,1.4071541476225258
2021-10-31,1.3148964567074224
2021-11-30,1.3255467389352795
2021-12-31,1.2788128256371796
2022-01-31,1.350013884439364
2022-02-28,1.391074706269931
2022-03-31,1.3613217584089503
2022-04-30,1.4922993192025622
2022-05-31,1.488938351546696
2022-06-30,1.6789589961358329
2022-07-31,1.5373849251328142
2022-08-31,1.6027818832816694
2022-09-30,1.8154614687687076
2022-10-31,1.6789998596987588
2022-11-30,1.5905775290173851
2022-12-31,1.7283182164220048
2023-01-31,1.6260595714783856
2023-02-28,1.6679975878948858
2023-03-31,1.643991352011617
2023-04-30,1.6181416678744558
2023-05-31,1.610706200762874
2023-06-30,1.5269682017351884
2023-07-31,1.4785699037995996
2023-08-31,1.5029966223392657
2023-09-30,1.5746953697471635
2023-10-31,1.6096382282895911
2023-11-30,1.4749140088241368
2023-12-31,1.437608297603703
2024-01-31,1.4150712310642792
2024-02-29,1.344885900723045
2024-03-31,1.3197721210346214
2024-04-30,1.3752204152461285
2024-05-31,1.309010847009516
2024-06-30,1.2871627583809415
2024-07-31,1.271762691711776
2024-08-31,1.2427259124802406
2024-09-30,1.2461527120897204
2024-10-31,1.257372653920557
2024-11-30,1.186611113959685
2024-12-31,1.226277938841464
2025-01-31,1.1942058047994202
2025-02-28,1.2095607348261534
2025-03-31,1.299242865231029
2025-04-30,1.3106061837186065
2025-05-31,1.2331113733880563
2025-06-30,1.1731706578928571
2025-07-31,1.1467590216420604
2025-08-31,1.123701144232757
2025-09-30,1.0979162788686827
2025-10-31,1.072354150920022
2025-11-30,1.0702671247685993
2025-12-31,1.0733947138426116
2026-01-31,1.0578050695622758
2026-02-28,1.0670262661018526
2026-03-31,1.138022830896844
2026-04-30,1.0298358118329884
2026-05-31,0.9783494360281888
2026-06-30,0.973152614252071
