date,dy
2016-08-31,3.839227719450798
2016-09-30,3.793144105294043
2016-10-31,3.810493309820549
2016-11-30,3.907989336466094
2016-12-31,3.6961725635993576
2017-01-31,3.645923777287941
2017-02-28,3.660562089267799
2017-03-31,3.4396297927514
2017-04-30,3.254266755991103
2017-05-31,3.102571627001429
2017-06-30,2.5969034864677973
2017-07-31,2.5369203693157973
2017-08-31,2.514711385832738
2017-09-30,2.417053309907809
2017-10-31,2.3793227267979966
2017-11-30,2.381598734187258
2017-12-31,2.4176963957469897
2018-01-31,2.264640694312228
2018-02-28,2.38635702666685
2018-03-31,2.403837112023317
2018-04-30,2.309684140717135
2018-05-31,2.372107826495804
2018-06-30,3.032963876573707
2018-07-31,2.918223529902225
2018-08-31,2.984076584589803
2018-09-30,2.948902712431716
2018-10-31,3.258220503242014
2018-11-30,3.296511224165277
2018-12-31,3.605672562133583
2019-01-31,3.396889599721763
2019-02-28,3.258004512653029
2019-03-31,3.244738429450801
2019-04-30,3.095578580378325
2019-05-31,3.2973252062374616
2019-06-30,3.3765372396131603
2019-07-31,3.474013386541433
2019-08-31,3.509354107386859
2019-09-30,3.433671330322335
2019-10-31,3.313828291936445
2019-11-30,3.2688205140499647
2019-12-31,2.9572307790922245
2020-01-31,3.0806053900615336
2020-02-29,3.34362302808738
2020-03-31,4.126749675943065
2020-04-30,3.9514307668305007
2020-05-31,3.730467644565088
2020-06-30,1.0790244018340969
2020-07-31,1.0585635036256713
2020-08-31,1.011170501305174
2020-09-30,1.0589423569313616
2020-10-31,1.1093683005601596
2020-11-30,0.9106448453381144
2020-12-31,1.2234277969799936
2021-01-31,1.2562891480539164
2021-02-28,1.20139370304916
2021-03-31,1.1682803402195785
2021-04-30,1.1003569874780308
2021-05-31,1.043899575525077
2021-06-30,1.870020888935068
2021-07-31,1.846121031175896
2021-08-31,1.8303670095620097
2021-09-30,1.90065215521242
2021-10-31,1.8005667413064044
2021-11-30,1.87298959809406
2021-12-31,4.362059811758445
2022-01-31,4.4760333216718
2022-02-28,4.800364347828521
2022-03-31,4.800364347828521
2022-04-30,5.147097824425414
2022-05-31,4.944515759335085
2022-06-30,7.40807002900198
2022-07-31,6.9538998431832
2022-08-31,7.50054579605865
2022-09-30,8.295380791327563
2022-10-31,7.487913885711698
2022-11-30,6.58129614981738
2022-12-31,3.6085053702880647
2023-01-31,3.233595570296867
2023-02-28,3.272554616647521
2023-03-31,3.161738263200795
2023-04-30,3.0203104950208743
2023-05-31,3.230100022158627
2023-06-30,2.6632142148844293
2023-07-31,2.621037921629469
2023-08-31,2.724738006343688
2023-09-30,2.8832154085152752
2023-10-31,2.978625163691783
2023-11-30,2.73126503889427
2023-12-31,2.959377051368593
2024-01-31,2.990673151340697
2024-02-29,2.8835708904073645
2024-03-31,2.800009632054518
2024-04-30,2.895813897061932
2024-05-31,2.780537187778381
2024-06-30,3.2754776697368
2024-07-31,3.213386893624602
2024-08-31,3.1029975697135184
2024-09-30,3.0630578789106995
2024-10-31,3.264245103558422
2024-11-30,3.4137252663635262
2024-12-31,3.4819645685838583
2025-01-31,3.2340903225672344
2025-02-28,3.159658393494108
2025-03-31,3.1390174312780843
2025-04-30,3.0441739467996083
2025-05-31,2.9402892240238883
2025-06-30,2.9477447664659056
2025-07-31,3.00818992519973
2025-08-31,2.962279491723295
2025-09-30,2.871920675688548
2025-10-31,2.84922054107687
2025-11-30,2.83068163111909
2025-12-31,2.6899700595683327
2026-01-31,2.668616718465061
2026-02-28,2.5281336866444306
2026-03-31,2.789805468070509
2026-04-30,2.669793759617395
2026-05-31,2.6326246456710374
2026-06-30,2.8014487398211414
