date,dy
2016-08-31,2.9688444418784568
2016-09-30,2.962062443128724
2016-10-31,3.0032186606139155
2016-11-30,3.1338457656080636
2016-12-31,2.9806900662930813
2017-01-31,2.8690902279658297
2017-02-28,2.8680475971150585
2017-03-31,2.745344873351114
2017-04-30,2.659321869006514
2017-05-31,2.5444445753527285
2017-06-30,2.484127195929316
2017-07-31,2.448535490702685
2017-08-31,2.4445557503460296
2017-09-30,2.3186719273125855
2017-10-31,2.273799083931755
2017-11-30,2.2621696343881266
2017-12-31,2.5536005366705377
2018-01-31,2.4084522985907646
2018-02-28,2.6000582543729487
2018-03-31,2.6317071461415744
2018-04-30,2.597655006153888
2018-05-31,2.6649776495896433
2018-06-30,3.349832053300323
2018-07-31,3.2075360576807626
2018-08-31,3.322128700801194
2018-09-30,3.3768643307252786
2018-10-31,3.685429507735777
2018-11-30,3.7417264587209864
2018-12-31,3.5597479276417197
2019-01-31,3.368406567002246
2019-02-28,3.3054802616180683
2019-03-31,3.3521397923903975
2019-04-30,3.13331980090135
2019-05-31,3.3521397923903975
2019-06-30,3.106102465979739
2019-07-31,3.2485526135168663
2019-08-31,3.3190928548469794
2019-09-30,3.237687809962375
2019-10-31,3.051704969878057
2019-11-30,3.0105798869606355
2019-12-31,2.9634756906244917
2020-01-31,3.053844039841257
2020-02-29,3.3228907573417357
2020-03-31,4.056153394011384
2020-04-30,3.694918095766316
2020-05-31,3.378292395054752
2020-06-30,1.2065990157712818
2020-07-31,1.1579079880474128
2020-08-31,1.0867408642913092
2020-09-30,1.1229282904791702
2020-10-31,1.2447070715926443
2020-11-30,1.0703829110467558
2020-12-31,2.42197442874975
2021-01-31,2.4458398806917256
2021-02-28,2.4038152531350123
2021-03-31,2.301020180079619
2021-04-30,2.2225918871795636
2021-05-31,2.1505346540084647
2021-06-30,3.245670455016573
2021-07-31,3.253191971970578
2021-08-31,3.213167318849915
2021-09-30,3.411306479242953
2021-10-31,3.3254425753679033
2021-11-30,3.5303425610551638
2021-12-31,3.039768199263928
2022-01-31,3.112889753567144
2022-02-28,3.4265336719941595
2022-03-31,3.5098131156417183
2022-04-30,3.8309728092152
2022-05-31,3.6459418378147914
2022-06-30,5.101052241542113
2022-07-31,4.977744051692762
2022-08-31,5.374322940768741
2022-09-30,5.946058687950015
2022-10-31,5.379248708515542
2022-11-30,4.6228913543889485
2022-12-31,3.535262857896647
2023-01-31,3.117940030940727
2023-02-28,3.203629463022923
2023-03-31,3.071927417445295
2023-04-30,2.9726980464081154
2023-05-31,3.1246263566712797
2023-06-30,2.8559179272491066
2023-07-31,2.7828640514102507
2023-08-31,2.922405956101476
2023-09-30,3.114258418679246
2023-10-31,3.240411820774332
2023-11-30,2.872001978894643
2023-12-31,2.7229507821920786
2024-01-31,2.7810257455084013
2024-02-29,2.6385254054754683
2024-03-31,2.546280719316996
2024-04-30,2.6541175581540686
2024-05-31,2.52165981007498
2024-06-30,2.5739276660083363
2024-07-31,2.533386808040636
2024-08-31,2.415374252520613
2024-09-30,2.3290090151594676
2024-10-31,2.438541673806588
2024-11-30,2.4423200843358552
2024-12-31,2.470341312875907
2025-01-31,2.2698889953676957
2025-02-28,2.179269879070657
2025-03-31,2.119909875760712
2025-04-30,1.9905357537834223
2025-05-31,1.8729153117366437
2025-06-30,1.637012366818296
2025-07-31,1.6831589520365855
2025-08-31,1.6538202295631281
2025-09-30,1.6645517255825975
2025-10-31,1.700515459485404
2025-11-30,1.6926197649618062
2025-12-31,1.629694097327641
2026-01-31,1.6066340758926958
2026-02-28,1.5620658231545068
2026-03-31,1.7459540820835648
2026-04-30,1.6389492833524193
2026-05-31,1.5947961820031757
2026-06-30,1.941657011965775
