date,000300,000688,000922,000015,399989,931071,000069,930781,399975,399967,931066,930598,000819,950125,931637,399986,930633,931946
2023-08-08,-0.26,-0.35,-0.14,-0.18,-0.03,-1.08,0.18,0.21,-0.59,-1.34,-0.91,-0.36,0.39,-0.31,-2.62,-0.44,-0.18,-0.59
2023-08-09,-0.31,-0.85,-0.44,-0.41,1.91,-1.99,0.14,-2.69,-0.53,-0.48,-0.51,-0.9,-0.81,-0.9,1.0,0.23,-0.96,-1.02
2023-08-10,0.21,0.19,0.25,0.43,0.37,-0.37,-0.19,-0.1,1.84,0.12,0.09,-0.09,-0.08,0.91,-0.23,-0.1,2.0,0.53
2023-08-11,-2.3,-2.13,-1.54,-1.5,-1.56,-2.25,-1.77,-2.07,-4.31,-1.36,-1.15,-2.3,-2.17,-2.04,-2.31,-1.91,-1.27,-2.41
2023-08-14,-0.73,-0.88,-0.05,-0.05,-0.21,1.21,-0.52,1.44,-1.08,0.68,0.53,-0.29,-0.77,-0.85,-0.7,-1.31,0.23,-0.34
2023-08-15,-0.24,-1.4,0.66,0.81,-0.78,-1.73,-0.39,-2.19,1.69,-1.01,-0.92,-1.0,-0.9,-2.63,-0.75,1.1,-2.09,-0.26
2023-08-16,-0.73,-1.71,-0.05,-0.1,-0.26,-3.32,-0.28,-1.98,0.35,-1.63,-1.58,-1.29,-0.97,-1.97,-1.31,-0.17,-0.72,-0.41
2023-08-17,0.33,0.95,0.01,-0.03,0.35,0.96,1.12,0.92,-0.09,3.1,3.88,0.92,0.43,1.22,0.84,-0.82,0.57,0.52
2023-08-18,-1.23,-0.67,-0.43,-0.16,-2.14,-2.97,-1.99,-2.73,-1.59,-0.96,-0.52,-1.81,-2.07,-0.15,-3.1,0.45,-2.54,-1.92
2023-08-21,-1.44,-1.34,-1.04,-0.87,-0.41,-0.4,-0.88,-0.45,-3.4,-1.69,-1.65,-1.0,-0.97,-1.16,-2.32,-1.59,-2.43,-1.38
