ts_code,erp_code,name,trade_date,latest_close,latest_pct_chg,excess_return_mean,tracking_error,excess_return_5d_ma,excess_return_10d_ma,excess_return_15d_ma,excess_return_20d_ma,ma_trend_slope,turnover_rate,turnover_quantile,is_price_turnover_divergence,turnover_ratio_1w,turnover_ratio_1m,turnover_acceleration,latest_discount_rate,discount_quantile_1y,discount_quantile_3y,change_5d_discount,change_10d_discount,annualized_volatility,volatility_quantile_1y,volatility_quantile_3y,volatility_slope,max_drawdown,max_drawdown_quantile_1y,max_drawdown_quantile_3y,max_drawdown_slope,_latest_discount_rate_streak,_turnover_quantile_streak,_annualized_volatility_streak,_tracking_error_streak,stale_flag,stale_note
510300.SH.SH,000300,510300.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
588000.SH.SH,000688,588000.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
515180.SH.SH,000922,515180.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
510880.SH.SH,000015,510880.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
512170.SH.SH,399989,512170.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
515980.SH.SH,931071,515980.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
510150.SH.SH,000069,510150.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
516620.SH.SH,930781,516620.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
512880.SH.SH,399975,512880.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
513500.SH.SH,SPY,513500.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
159696.SZ.SZ,QQQ,159696.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
513080.SH.SH,EWQ,513080.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
159561.SZ.SZ,EWG,159561.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
513880.SH.SH,EWJ,513880.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
520580.SH.SH,EEM,520580.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
513180.SH.SH,HSTECH,513180.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
512660.SH.SH,399967,512660.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
512710.SH.SH,931066,512710.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
516150.SH.SH,930598,516150.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
512400.SH.SH,000819,512400.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
588710.SH.SH,950125,588710.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
513770.SH.SH,931637,513770.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
512800.SH.SH,399986,512800.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
159766.SZ.SZ,930633,159766.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
159172.SZ.SZ,931946,159172.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
159755.SZ.SZ,980032,159755.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,
