日期,收盘点位,市值(港币),PE-TTM等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2024-12-11,=4531.5800,=11217272004941.1016,=31.5786,=0.0353,=1319.8711,=93.9111,=49.4146
2024-12-10,=4591.9400,=11312801842764.1895,=31.7675,=0.0362,=1437.6109,=93.9545,=49.4146
2024-12-09,=4656.8000,=11452472900263.3105,=32.1152,=0.0390,=1437.6109,=93.9978,=49.4304
2024-12-06,=4464.6500,=10523740152048.6992,=28.4366,=0.0205,=1437.6109,=94.0854,=49.4539
2024-12-05,=4370.2200,=10312679474871.0293,=27.8279,=0.0140,=1437.6109,=94.1731,=49.5020
2024-12-04,=4404.0400,=10382969559403,=28.2271,=0.0149,=1437.6109,=94.2283,=49.5850
2024-12-03,=4417.9900,=10404269964956.4688,=28.7760,=0.0215,=1645.6152,=94.2836,=49.5850
2024-12-02,=4405.9500,=10344442752757.7363,=28.6093,=0.0187,=1645.6152,=94.3059,=49.6167
2024-11-29,=4353.5500,=10256393802546.0508,=28.8339,=0.0215,=1645.6152,=94.3283,=49.7543
2024-11-28,=4307.7500,=10240005056595.8691,=28.4117,=0.0178,=1645.6152,=94.5098,=49.7961
2024-11-27,=4374.4400,=10382594670125.0801,=28.7380,=0.0187,=1645.6152,=94.6913,=49.9982
2024-11-26,=4221.9900,=10071466800217.1719,=27.6131,=0.0112,=1648.0253,=94.8260,=49.9982
2024-11-25,=4235.3100,=10075713764580.5098,=27.1294,=0.0094,=1648.0253,=94.9608,=50.0118
2024-11-22,=4246.2000,=10143886996499.6309,=27.3066,=0.0094,=1648.0253,=95.0980,=50.1028
2024-11-21,=4358.1500,=10387308884139.9492,=28.3230,=0.0132,=1648.0253,=95.2351,=50.1166
2024-11-20,=4413.0800,=10458401659924.6426,=28.2485,=0.0122,=1648.0253,=95.2462,=50.1189
2024-11-19,=4395.0400,=10407722865887.6191,=29.2235,=0.0169,=2221.7836,=95.2573,=50.1189
2024-11-18,=4341.5300,=10346189625290.9297,=29.2215,=0.0160,=2221.7836,=95.6627,=50.1740
2024-11-15,=4327.8400,=10303278468474.2109,=29.9116,=0.0179,=2221.7836,=96.0681,=50.2779
2024-11-14,=4318.3200,=10298202923408.4707,=30.2220,=0.0179,=2221.7836,=96.0882,=50.4829
2024-11-13,=4455.6700,=10511484763592.0098,=31.6936,=0.0198,=2221.7836,=96.1084,=50.6089
2024-11-12,=4456.8600,=10516616780399.9414,=31.2527,=0.0189,=2352.1666,=96.1352,=50.6089
2024-11-11,=4651.7100,=10885914598107.4805,=32.0649,=0.0208,=2352.1666,=96.1620,=50.8836
2024-11-08,=4668.2600,=10987592398221.9922,=32.4831,=0.0218,=2352.1666,=96.2235,=50.8858
2024-11-07,=4677.6400,=11138461406779.0996,=34.4252,=0.0398,=2221.7836,=96.1620,=50.8948
2024-11-06,=4574.5000,=10902768237812.3418,=33.2819,=0.0304,=2221.7836,=96.2235,=51.0088
2024-11-05,=4693.8500,=11182181749283.5313,=33.8303,=0.0314,=2352.1666,=96.2850,=51.0088
2024-11-04,=4532.1800,=10888784793326.9297,=32.9015,=0.0266,=2352.1666,=96.3015,=51.1090
2024-11-01,=4483.9100,=10829361237827.6895,=32.6152,=0.0229,=2352.1666,=96.3181,=51.1596
2024-10-31,=4499.1500,=10678995719486.3203,=32.6286,=0.0229,=2352.1666,=96.3630,=51.3081
2024-10-30,=4513.6800,=10780646509441.5176,=32.7584,=0.0229,=2352.1666,=96.4080,=51.5369
2024-10-29,=4623.8400,=11002635271373.4219,=33.1795,=0.0258,=4190.1647,=96.4476,=51.5369
2024-10-28,=4574.0700,=10890109672518.2598,=33.7412,=0.0258,=4190.1647,=96.4873,=51.6832
2024-10-25,=4538.0300,=10874359866524.5508,=34.1128,=0.0287,=4190.1647,=96.6215,=51.6846
2024-10-24,=4483.9900,=10812610668417.3809,=33.1575,=0.0249,=4190.1647,=96.7556,=51.8351
2024-10-23,=4605.6200,=11068944487895.6602,=33.9981,=0.0259,=4190.1647,=96.9144,=51.8451
2024-10-22,=4521.6300,=10882791370945.4316,=33.9346,=0.0250,=5330.4812,=97.0733,=51.8451
2024-10-21,=4491.9000,=10847440548766.4707,=34.4010,=0.0279,=5330.4812,=97.2173,=51.9805
2024-10-18,=4600.8500,=11114009167412.0996,=34.6384,=0.0288,=5330.4812,=97.3612,=53.3471
2024-10-17,=4349.7700,=10597613375567.7109,=32.3703,=0.0212,=5330.4812,=97.3640,=53.8527
2024-10-16,=4402.3700,=10698005607477.5000,=32.9679,=0.0222,=5330.4812,=97.3668,=53.9872
2024-10-15,=4450.9500,=10765465039139.4902,=33.0068,=0.0222,=-14281.0962,=97.4150,=53.9872
2024-10-14,=4668.1800,=11299110119204.3184,=34.1680,=0.0222,=-14281.0962,=97.4633,=54.5690
2024-10-10,=4736.1000,=11443723078526.4883,=34.3540,=0.0232,=-14281.0962,=97.6738,=54.5859
2024-10-09,=4640.7500,=11210770324461.5801,=34.2096,=0.0222,=-14281.0962,=97.8842,=54.9141
2024-10-08,=4695.8100,=11330066623443.0195,=35.8224,=0.0232,=-14281.0962,=97.9954,=54.9392
2024-10-07,=5386.4800,=12685580544544.7168,=41.3634,=0.0514,=-3789.2459,=98.1067,=54.9392
2024-10-04,=5227.1300,=12516163476858.6797,=39.2529,=0.0281,=-3789.2459,=98.8917,=55.3893
2024-10-03,=4978.6400,=12072114860365.1602,=37.6115,=0.0243,=-3789.2459,=99.6768,=55.5597
2024-10-02,=5157.0800,=12335643968057.9902,=38.8161,=0.0262,=-3789.2459,=99.8661,=55.6438
2024-09-30,=4751.8100,=11508916296236.5801,=34.6248,=0.0224,=-3789.2459,=100.0553,=55.6857
2024-09-27,=4453.2400,=11022362981491.9805,=32.6855,=0.0214,=-3129.0900,=100.5169,=55.6857
2024-09-26,=4209.7100,=10571330510295.7793,=30.3995,=0.0185,=-3129.0900,=100.9784,=56.4536
2024-09-25,=3924.4500,=9907465807968.4453,=28.4433,=0.0127,=-3129.0900,=101.0450,=56.6196
2024-09-24,=3915.5800,=9878001319937.7598,=27.9534,=0.0117,=-3129.0900,=101.1116,=56.8028
2024-09-23,=3698.2700,=9400589014976.1895,=26.6386,=0.0088,=-3129.0900,=101.1956,=57.6866
2024-09-20,=3703.8400,=9426740891941.5098,=26.5109,=0.0068,=-1840.0886,=101.2795,=57.6866
2024-09-19,=3651.5600,=9340782011799.7695,=26.5729,=0.0069,=-1840.0886,=101.4426,=58.1884
2024-09-17,=3536.5700,=9075704476609.9707,=25.3250,=0.0039,=-1840.0886,=101.6058,=58.2325
2024-09-16,=3497.4500,=9002629699733.5098,=25.0458,=0.0020,=-1840.0886,=101.6330,=58.2567
2024-09-13,=3479.8000,=8962266847388.5684,=25.3767,=0.0029,=-1840.0886,=101.6603,=58.9672
2024-09-12,=3475.2500,=8940749675462.1191,=24.9951,=0.0010,=-1311.8293,=102.0720,=58.9672
2024-09-11,=3450.9200,=8856486219010.5000,=24.9316,=0,=-1311.8293,=102.4837,=59.2123
2024-09-10,=3450.7300,=8852187172881.9004,=25.1287,=0,=-1311.8293,=102.8342,=59.2251
2024-09-09,=3436.7500,=8782008908316.9727,=26.0773,=0,=-1311.8293,=103.1846,=59.2615
2024-09-05,=3487.8000,=8875134294422.2109,=27.7278,=0,=-1311.8293,=103.9440,=59.8929
2024-09-04,=3482.8400,=8872503100490,=27.8390,=0,=-1113.5878,=104.7034,=59.8929
2024-09-03,=3496.4900,=8932984013892.6113,=28.7750,=0,=-1113.5878,=104.9657,=60.0277
2024-09-02,=3486.4000,=8903201810578.7109,=28.8380,=0,=-1113.5878,=105.2280,=60.5193
2024-08-30,=3560.6100,=9077305450115.2695,=29.2602,=0,=-1113.5878,=105.3306,=61.0283
2024-08-29,=3461.2200,=8880704283869.6895,=29.4081,=0.0010,=-1113.5878,=105.4332,=61.6104
2024-08-28,=3445.4600,=8790721740358.2197,=29.3509,=0,=-1066.4271,=105.6066,=61.6104
2024-08-27,=3501.2900,=8942262259839.7461,=32.0649,=0.0010,=-1066.4271,=105.7801,=62.1159
2024-08-26,=3502.9600,=8999358034611.1895,=32.0435,=0,=-1066.4271,=105.7864,=62.1667
2024-08-23,=3468.9400,=8897716249024.0605,=36.5049,=0,=-1066.4271,=105.7926,=62.2251
2024-08-22,=3508.6100,=8981268962782.1699,=38.7762,=0.0010,=-1066.4271,=105.8235,=62.6541
2024-08-21,=3434.3900,=8796641577156.5391,=38.2600,=0,=-859.3908,=105.8543,=62.6541
2024-08-20,=3498.0800,=8866557881666.9395,=45.5482,=0.0699,=-859.3908,=106.2671,=62.8938
2024-08-19,=3517.0900,=8921510226124.8789,=46.6894,=0.0860,=-859.3908,=106.6799,=63.0796
2024-08-16,=3459.0900,=8831045764410.7988,=46.5108,=0.0821,=-859.3908,=106.9425,=63.1373
2024-08-15,=3384.3800,=8626069704783.6016,=47.7759,=0.1253,=-859.3908,=107.2051,=63.4680
2024-08-14,=3395.7000,=8701905316905.0195,=48.2507,=0.1274,=-859.3194,=107.4963,=63.4680
2024-08-13,=3429.6900,=8798619859823.9414,=50.2736,=0.1466,=-859.3194,=107.7875,=64.0586
2024-08-12,=3429.8400,=8765984235422.6016,=50.6347,=0.1487,=-859.3194,=108.1361,=64.3376
2024-08-09,=3436.8000,=8724142589136.8096,=49.0641,=0.1318,=-859.3194,=108.4847,=64.4348
2024-08-08,=3366.6800,=8598954018358.1602,=46.5167,=0.1047,=-859.3194,=108.5398,=64.6998
2024-08-07,=3382.4200,=8583176573824.4590,=45.8949,=0.0978,=-845.3210,=108.5950,=64.6998
2024-08-06,=3342.5200,=8434750373325.1406,=42.9765,=0.0585,=-845.3210,=108.6711,=65.4002
2024-08-05,=3339.4200,=8448478882078.6201,=42.6443,=0.0535,=-845.3210,=108.7472,=65.5006
2024-08-02,=3385.6000,=8527401006002.2988,=42.4672,=0.0415,=-845.3210,=108.7887,=65.7805
2024-08-01,=3476.5800,=8750015386477.1416,=41.6556,=0.0273,=-845.3210,=108.8303,=65.8692
2024-07-31,=3516.8700,=8773778168958.9902,=41.5163,=0.0223,=-811.2749,=109.2382,=65.8692
2024-07-30,=3414.0400,=8558196547263.0508,=40.7447,=0.0112,=-811.2749,=109.6461,=65.9342
2024-07-29,=3466.6000,=8665631788432.2598,=40.8584,=0.0122,=-811.2749,=110.1894,=66.0449
2024-07-26,=3443.7300,=8556079072112.7891,=41.2418,=0.0152,=-811.2749,=110.7327,=66.1367
2024-07-25,=3421.2600,=8508585242603.3896,=41.4985,=0.0173,=-811.2749,=111.0834,=66.4142
2024-07-24,=3491.2000,=8719369729450.2197,=41.7931,=0.0244,=-783.0300,=111.4341,=66.4142
2024-07-23,=3545.0900,=8803543156551.3008,=40.7743,=0.0082,=-783.0300,=111.4970,=66.4726
2024-07-22,=3610.7100,=8949973924415.9199,=42.2107,=0.0367,=-783.0300,=111.5598,=66.5195
2024-07-19,=3536.5400,=8766347086132.4600,=40.9016,=0.0133,=-783.0300,=111.6961,=66.6605
2024-07-18,=3613.1300,=8941442469913.7305,=42.2019,=0.0337,=-783.0300,=111.8324,=66.7948
2024-07-17,=3640.8800,=8999439717185.5410,=41.2281,=0.0154,=-731.3841,=111.9212,=66.7948
2024-07-16,=3622.8400,=9007495387309.9102,=41.8895,=0.0277,=-731.3841,=112.0100,=66.8760
2024-07-15,=3672.5800,=9197397919152.1621,=42.9583,=0.0513,=-731.3841,=112.2693,=67.0330
2024-07-12,=3782.0800,=9411161195204.2109,=44.2899,=0.0719,=-731.3841,=112.5285,=67.1353
2024-07-11,=3696.4900,=9145426363973.7500,=42.9496,=0.0565,=-731.3841,=112.7722,=67.1597
2024-07-10,=3600.4900,=8942435182519.5586,=43.3392,=0.0638,=-601.0888,=113.0159,=67.1597
2024-07-09,=3600.9000,=8956335368793.7500,=43.0721,=0.0597,=-601.0888,=113.3235,=67.1613
2024-07-08,=3566.6300,=8905178741139.2207,=42.1053,=0.0330,=-601.0888,=113.6311,=67.3258
2024-07-05,=3596.8000,=8978292907679.8223,=42.1265,=0.0372,=-601.0888,=113.6887,=67.3489
2024-07-04,=3649.6700,=9063925043146.4121,=41.3621,=0.0207,=-601.0888,=113.7463,=67.4261
2024-07-03,=3626.9300,=8986502896145.9492,=42.6458,=0.0403,=-542.3930,=113.7887,=67.4261
2024-07-02,=3539.1300,=8770104425388.5098,=43.0882,=0.0487,=-542.3930,=113.8311,=67.5441
2024-06-28,=3554.4500,=8820342833941.9395,=44.4151,=0.0653,=-542.3930,=113.8469,=67.6819
2024-06-27,=3588.8600,=8898341225393.0195,=44.1884,=0.0633,=-542.3930,=113.8627,=67.7301
2024-06-26,=3689.6800,=9110979204545.0391,=46.2761,=0.0841,=-542.3930,=113.9093,=67.7356
2024-06-25,=3655.4600,=9082595040770.0703,=46.3062,=0.0842,=-476.9193,=113.9559,=67.7356
2024-06-24,=3677.5100,=9067606771521.2695,=47.5985,=0.0968,=-476.9193,=114.3094,=67.7424
2024-06-21,=3701.4000,=9103678952200.5605,=49.2666,=0.1073,=-476.9193,=114.6628,=67.7976
2024-06-20,=3767.8800,=9274408278637.9004,=50.8682,=0.1230,=-476.9193,=114.7820,=68.2770
2024-06-19,=3832.3200,=9367943245282.7793,=50.7711,=0.1221,=-476.9193,=114.9013,=68.2843
2024-06-18,=3697.2100,=9064551464211.2695,=51.4259,=0.1264,=-460.5076,=114.9050,=68.2843
2024-06-17,=3709.3500,=9141892988613.2305,=51.7426,=0.1287,=-460.5076,=114.9087,=68.3504
2024-06-14,=3707.6200,=9125298582201.0293,=51.4460,=0.1257,=-460.5076,=114.9910,=68.4327
2024-06-13,=3739.1400,=9194757449996.8203,=50.6601,=0.1216,=-460.5076,=115.0733,=68.6204
2024-06-12,=3691.2800,=9047908132541.1797,=49.5850,=0.1112,=-460.5076,=115.0757,=68.8610
2024-06-11,=3755.4200,=9192298271394.0137,=47.2860,=0.0956,=-450.2046,=115.0782,=68.8610
2024-06-07,=3772.4700,=9213342835505.4297,=46.2116,=0.0841,=-450.2046,=115.5985,=68.8924
2024-06-06,=3840.6600,=9353759051571.8301,=45.6082,=0.0737,=-450.2046,=116.1189,=68.9535
2024-06-05,=3807.7300,=9295623990837.0801,=45.7957,=0.0748,=-450.2046,=116.5355,=68.9703
2024-06-04,=3796.1700,=9246634048116.8691,=46.1223,=0.0802,=-450.2046,=116.9521,=69.0157
2024-06-03,=3784.0400,=9208047454562.8789,=46.0030,=0.0781,=-435.1478,=117.0555,=69.0157
2024-05-31,=3690.7600,=8929868262903.4414,=45.8086,=0.0772,=-435.1478,=117.1588,=69.1139
2024-05-30,=3752.7600,=9102375849840.0898,=49.5534,=0.1058,=-435.1478,=117.6683,=69.1183
2024-05-29,=3765.2400,=9160874583272.3691,=48.9722,=0.0985,=-435.1478,=118.1777,=69.2190
2024-05-28,=3854.5700,=9402834531640.2285,=50.6942,=0.1124,=-435.1478,=118.7937,=69.2288
2024-05-27,=3864.4800,=9379536021565.7891,=50.4283,=0.1115,=-335.4125,=119.4096,=69.2288
2024-05-24,=3799.4700,=9281215099775.0703,=49.1770,=0.1010,=-335.4125,=119.5509,=69.3373
2024-05-23,=3896.1900,=9442185067384.9395,=46.5166,=0.0840,=-335.4125,=119.6922,=69.3511
2024-05-22,=3992.5900,=9670306780144.6289,=49.7008,=0.1033,=-335.4125,=119.7745,=69.4998
2024-05-21,=3980.6300,=9696894425054.0996,=55.2127,=0.1226,=-335.4125,=119.8568,=69.5128
2024-05-20,=4135.3800,=10002528063582.4688,=54.9570,=0.1206,=-320.1685,=120.4956,=69.5128
2024-05-17,=4112.5900,=9997917303955.1602,=58.7638,=0.1335,=-320.1685,=121.1345,=69.6435
2024-05-16,=4072.1500,=9868859347674.0195,=57.1946,=0.1262,=-320.1685,=121.1464,=69.6517
2024-05-14,=4041.4500,=9744855246649.3301,=56.2551,=0.1253,=-320.1685,=121.1583,=69.8865
2024-05-13,=4018.6900,=9661818356274.5293,=57.6530,=0.1265,=-320.1685,=121.1748,=69.9581
2024-05-10,=3962.3200,=9477832533294.7500,=55.1312,=0.1223,=-310.2256,=121.1913,=69.9581
2024-05-09,=3947.4100,=9425859996290.7324,=48.9856,=0.0999,=-310.2256,=121.5052,=69.9800
2024-05-08,=3872.0100,=9254979145574.6699,=46.4776,=0.0839,=-310.2256,=121.8192,=70.2750
2024-05-07,=3922.5400,=9376256381044.2109,=45.2043,=0.1012,=-310.2256,=122.1419,=70.4264
2024-05-06,=4007.7800,=9555567676177.9492,=45.5265,=0.1034,=-310.2256,=122.4646,=70.4378
2024-05-03,=3971.2900,=9439968034128.6973,=44.7246,=0.0982,=-307.8865,=122.9773,=70.4378
2024-05-02,=3865.4800,=9226245770306.4883,=42.7175,=0.0853,=-307.8865,=123.4900,=70.5118
2024-04-30,=3700.6700,=8883551336971.8301,=48.2159,=0.1135,=-307.8865,=123.5063,=70.5620
2024-04-29,=3713.3200,=8902434861082,=49.3925,=0.1158,=-307.8865,=123.5227,=70.6682
2024-04-26,=3718.2700,=8934526624648.4082,=49.3685,=0.1159,=-307.8865,=123.5894,=70.7028
2024-04-25,=3554.3000,=8629819023060.3984,=54.8620,=0.1388,=-307.4619,=123.6562,=70.7028
2024-04-24,=3573.5900,=8692210536758.3184,=55.7354,=0.1422,=-307.4619,=123.7320,=70.7154
2024-04-23,=3449.1000,=8408489627716.8291,=65.5116,=0.3076,=-307.4619,=123.8078,=70.8337
2024-04-22,=3336.3500,=8144420708793.3896,=66.6185,=0.3384,=-307.4619,=123.9512,=70.8337
2024-04-19,=3278.0600,=7899218809634.5996,=63.3982,=0.2723,=-307.4619,=124.0946,=70.8337
2024-04-18,=3356.8200,=8017573571238.1221,=63.9147,=0.2759,=-301.9863,=124.3735,=70.7154
2024-04-17,=3340.2200,=7960478086038.5801,=63.1144,=0.2675,=-301.9863,=124.6523,=70.7154
2024-04-16,=3337.8500,=7974105242191.4697,=65.9516,=0.3202,=-301.9863,=124.8252,=70.7154
2024-04-15,=3442.4900,=8160030503205.7100,=62.2507,=0.2451,=-301.9863,=124.9981,=70.7154
2024-04-12,=3474.4700,=8269007002376.7402,=58.4946,=0.1796,=-301.9863,=125.0581,=70.7154
2024-04-11,=3538.3900,=8441875993976.8701,=59.0986,=0.1798,=-289.6766,=125.1181,=70.7154
2024-04-10,=3552.0100,=8454741824058.6689,=60.1702,=0.1932,=-289.6766,=125.1880,=70.8337
2024-04-09,=3478.2400,=8227344853552.0801,=65.0031,=0.2670,=-289.6766,=125.2579,=70.8425
2024-04-08,=3444.6100,=8188565185584.8896,=66.9102,=0.3036,=-289.6766,=125.5049,=70.8425
2024-04-05,=3450.8900,=8230373720105.8799,=67.2508,=0.3095,=-289.6766,=125.7520,=70.8425
2024-04-03,=3460.8700,=8226500172575.1895,=66.9310,=0.3054,=-272.2683,=125.8943,=70.8337
2024-04-02,=3543.1200,=8345454906634.6396,=61.8655,=0.2252,=-272.2683,=126.0367,=70.8337
2024-03-28,=3477.5500,=8284419725341.4102,=58.1797,=0.1547,=-272.2683,=126.0520,=70.8337
2024-03-27,=3393.4300,=8125623574625.4805,=57.8772,=0.1482,=-272.2683,=126.0674,=70.8425
2024-03-26,=3471.4900,=8229980776273.6602,=96.6792,=0.4839,=-272.2683,=126.4613,=70.8446
2024-03-25,=3437.2000,=8096977988397.5898,=95.4145,=0.4800,=-243.4078,=126.8552,=70.8425
2024-03-22,=3455.8800,=8115293468959.8203,=97.1130,=0.4839,=-243.4078,=127.1004,=70.8425
2024-03-21,=3582.9000,=8309364468366.0596,=93.0632,=0.4700,=-243.4078,=127.3456,=70.8425
2024-03-20,=3551.4200,=8211084577499.5596,=88.7856,=0.4505,=-243.4078,=127.9111,=70.8425
2024-03-19,=3528.4700,=8154995445468.2285,=94.6547,=0.4733,=-243.4078,=128.4766,=70.8425
2024-03-18,=3594.2200,=8300615758568.8096,=95.6500,=0.4716,=-233.0912,=128.6174,=70.8337
2024-03-15,=3549.8400,=8208945035142.7305,=101.8587,=0.4922,=-233.0912,=128.7581,=70.8337
2024-03-14,=3603.8300,=8361622565630.3496,=92.6165,=0.4581,=-233.0912,=128.9483,=70.8337
2024-03-13,=3656.3000,=8442843880677.6797,=85.3967,=0.4340,=-233.0912,=129.1385,=70.8337
2024-03-12,=3643.9100,=8440938883488.0908,=80.1678,=0.3987,=-233.0912,=129.4675,=70.8337
2024-03-11,=3482.2900,=8110359672212.3584,=80.0188,=0.4002,=-221.3109,=129.7965,=70.7154
2024-03-08,=3385.5800,=7893013343354.0303,=85.4686,=0.4355,=-221.3109,=129.8894,=70.7154
2024-03-07,=3359.3400,=7856491984786.0098,=85.3234,=0.4360,=-221.3109,=129.9823,=70.7154
2024-03-06,=3412.5700,=7986028469261.8906,=86.7058,=0.4398,=-221.3109,=130.3664,=70.7154
2024-03-05,=3323.8900,=7793382481148.5703,=87.3151,=0.4403,=-221.3109,=130.7504,=70.7154
2024-03-04,=3474.7700,=8108489942499.3604,=94.2176,=0.4622,=-204.1706,=131.0644,=70.7028
2024-03-01,=3488.1300,=8113789283418.2900,=154.7101,=0.6140,=-204.1706,=131.3784,=70.7028
2024-02-29,=3431.3000,=8025017834362.1182,=174.4652,=0.6531,=-204.1706,=131.0644,=70.7028
2024-02-28,=3426.6100,=8044488246623.3896,=169.2097,=0.6459,=-204.1706,=130.7504,=70.7028
2024-02-27,=3503.1700,=8215164023693.2510,=155.3660,=0.6172,=-204.1706,=130.3664,=70.7028
2024-02-26,=3393.2900,=8094301291075.1699,=187.3707,=0.6621,=-194.1021,=129.9823,=70.6682
2024-02-23,=3399.8400,=8149856511136.3301,=166.8898,=0.6390,=-194.1021,=129.8894,=70.6682
2024-02-22,=3410.0200,=8162333260093.7900,=149.0930,=0.6068,=-194.1021,=129.7965,=70.6682
2024-02-21,=3351.2200,=8033197788611.9102,=146.5316,=0.6018,=-194.1021,=129.4675,=70.6682
2024-02-20,=3264.4000,=7875941192426.1309,=144.8695,=0.5979,=-194.1021,=129.1385,=70.6682
2024-02-19,=3253.0900,=7851397391771.6621,=133.9056,=0.5678,=-190.0221,=128.9483,=70.5620
2024-02-16,=3342.7300,=8047032235537.6504,=146.2697,=0.6005,=-190.0221,=128.7581,=70.5620
2024-02-15,=3223.1000,=7814523772447.6670,=161.4272,=0.6286,=-190.0221,=128.6174,=70.5620
2024-02-14,=3197.8700,=7808807383760.5996,=166.6460,=0.6407,=-190.0221,=128.4766,=70.5620
2024-02-09,=3127.2200,=7662988236114.6582,=161.7795,=0.6369,=-190.0221,=127.9111,=70.5620
2024-02-08,=3168.5500,=7728801290585.8818,=151.1693,=0.6158,=-185.4538,=127.3456,=70.5118
2024-02-07,=3190.6800,=7865538204365.1621,=143.0472,=0.6016,=-185.4538,=127.1004,=70.5118
2024-02-06,=3243.8100,=7936645822862.5488,=129.5296,=0.5690,=-185.4538,=126.8552,=70.5118
2024-02-05,=3038.8400,=7499015407875.8604,=122.2076,=0.5570,=-185.4538,=126.4613,=70.5118
2024-02-02,=3043.9000,=7496327904105.2207,=116.7435,=0.5530,=-185.4538,=126.0674,=70.5118
2024-02-01,=3065.9500,=7460253671719.0195,=114.1428,=0.5479,=-178.6774,=126.0520,=70.4264
2024-01-31,=3005.8000,=7349280670251.8691,=108.9746,=0.5346,=-178.6774,=126.0367,=70.4264
2024-01-30,=3098.8700,=7519205681069.9492,=101.3056,=0.5098,=-178.6774,=125.8943,=70.4264
2024-01-29,=3203.5900,=7748424259877.5898,=109.0137,=0.5301,=-178.6774,=125.7520,=70.4264
2024-01-26,=3186.4900,=7690673982644.8604,=110.1997,=0.5342,=-178.6774,=125.4350,=70.4264
2024-01-25,=3310.6900,=7944589945388.8691,=112.1758,=0.5371,=-178.5755,=125.1181,=70.2750
2024-01-24,=3281.1600,=7817105105019.0703,=92.9669,=0.4808,=-178.5755,=125.0581,=70.2750
2024-01-23,=3147.8100,=7471265389711.5996,=86.2605,=0.4570,=-178.5755,=125.1181,=70.2750
2024-01-22,=3035.4700,=7209348899574.7715,=93.8696,=0.4854,=-178.5755,=125.4350,=70.2750
2024-01-19,=3129.9200,=7410600948588.9980,=87.1095,=0.4615,=-178.5755,=125.7520,=70.2750
2024-01-18,=3176.0800,=7532590613723.4189,=82.7399,=0.4504,=-177.1120,=125.8943,=69.9800
2024-01-17,=3160,=7460427385509.9404,=80.7373,=0.4474,=-177.1120,=126.0367,=69.9800
2024-01-16,=3325.9300,=7783686361427.3604,=75.5324,=0.3871,=-177.1120,=126.0520,=69.9800
2024-01-15,=3404,=7959967614485.8604,=76.5326,=0.3970,=-177.1120,=126.0674,=69.9800
2024-01-12,=3470.6400,=8046012094829.0781,=76.4636,=0.3962,=-177.1120,=126.4613,=69.9800
2024-01-11,=3503.0200,=8082089109522.3486,=75.1904,=0.3791,=-153.8350,=126.8552,=69.9581
2024-01-10,=3428.2000,=7905184268218.2783,=73.9917,=0.3702,=-153.8350,=127.1004,=69.9581
2024-01-09,=3454.5000,=7970870122018.5898,=73.4785,=0.2271,=-153.8350,=127.3456,=69.9581
2024-01-08,=3484.7500,=8056337620596.6689,=74.3550,=0.2332,=-153.8350,=127.9111,=69.9581
2024-01-05,=3592.3300,=8256458880894.4385,=71.7681,=0.2111,=-153.8350,=128.4766,=69.9581
2024-01-04,=3654.9400,=8411067669419.5088,=69.3568,=0.1830,=-153.1049,=128.6174,=69.8865
2024-01-03,=3646.3900,=8399734640828.8701,=68.5789,=0.1738,=-153.1049,=128.7581,=69.9581
2024-01-02,=3714.7700,=8471797302492.2803,=68.0730,=0.1669,=-153.1049,=128.9483,=69.9800
2023-12-29,=3764.2900,=8498310601155.6904,=73.2490,=0.1623,=-153.1049,=129.1385,=70.2750
2023-12-28,=3763.9000,=8497173225562.6289,=76.3089,=0.1839,=-153.1049,=129.4675,=70.4264
2023-12-27,=3639.7600,=8239351266185.5801,=74.3465,=0.1675,=-148.7031,=129.7965,=70.4264
2023-12-22,=3548.0500,=7971657485604.6104,=76.7222,=0.2449,=-148.7031,=130.2735,=70.5118
2023-12-21,=3710.2200,=8566933642054.9395,=79.2795,=0.2619,=-148.7031,=130.7504,=70.5118
2023-12-20,=3726.5000,=8584838466735.9404,=73.0609,=0.2360,=-148.7031,=131.0644,=70.5118
2023-12-19,=3707.7600,=8522241850983.7402,=74.5062,=0.1671,=-148.7031,=131.3784,=70.5118
2023-12-18,=3730.6600,=8558645443248.5498,=77.6004,=0.1577,=-147.8145,=131.5181,=70.5118
2023-12-15,=3780.6900,=8639435922974.7803,=71.0390,=0.1388,=-147.8145,=131.6578,=70.5620
2023-12-14,=3698.5700,=8417033203037.3486,=72.0172,=0.1413,=-147.8145,=132.4729,=70.6682
2023-12-13,=3686.2100,=8423649205304.7178,=71.3780,=0.1799,=-147.8145,=133.2880,=70.7028
2023-12-12,=3730.2500,=8526232472375.4600,=69.3648,=0.1645,=-147.8145,=133.4095,=70.7154
2023-12-11,=3666.5100,=8390981964360.4502,=67.5193,=0.1526,=-144.6379,=133.5310,=70.7154
2023-12-08,=3705.9300,=8465126247970.0195,=68.5506,=0.1564,=-144.6379,=133.7009,=70.8425
2023-12-07,=3720.2100,=8485362980202.9502,=66.0528,=0.1422,=-144.6379,=133.8709,=70.8446
2023-12-06,=3747.5800,=8548496617408.9502,=67.9964,=0.1472,=-144.6379,=134.6065,=71.1116
2023-12-05,=3682.6700,=8443556863129.3008,=66.7808,=0.1425,=-144.6379,=135.3421,=71.2670
2023-12-04,=3759.7200,=8616539309433.5098,=71.2778,=0.1548,=-141.6779,=135.3904,=71.2670
2023-12-01,=3830.9200,=8749883957932.4385,=72.2882,=0.1586,=-141.6779,=135.4387,=71.2691
