日期,收盘点位,市值(港币),PE-TTM等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-09-05,=5687.4500,=16404393818429.2676,=34.7675,=0.0975,=391.8274,=73.8205,=43.1615
2025-09-04,=5578.8600,=16099553521833.0801,=33.7555,=0.0809,=391.8274,=73.9061,=43.1642
2025-09-03,=5683.7400,=16376721908709.3223,=33.4142,=0.0770,=391.8274,=73.9917,=43.2472
2025-09-02,=5728.4600,=16513088124234.7891,=33.6389,=0.0770,=391.8274,=74.0206,=43.2555
2025-09-01,=5798.9600,=16604029472514.1992,=33.6518,=0.0779,=391.8274,=74.0495,=43.2948
2025-08-29,=5674.3100,=16066438046266.8008,=33.6462,=0.0772,=406.5897,=74.0819,=43.2948
2025-08-28,=5644.0200,=15987767527709.5352,=33.8703,=0.0788,=406.5897,=74.1142,=43.2996
2025-08-27,=5697.5300,=16208776842286.5000,=33.2734,=0.0733,=406.5897,=74.1378,=43.3392
2025-08-26,=5782.2400,=16433514091559.2793,=34.7137,=0.0917,=406.5897,=74.1614,=43.4295
2025-08-25,=5825.0900,=16573262052712.4297,=34.4197,=0.0862,=406.5897,=74.2539,=43.4488
2025-08-22,=5647.6800,=16078945486821.7383,=34.2866,=0.0831,=406.8867,=74.3465,=43.4488
2025-08-21,=5498.5000,=15782273837686.9922,=35.8098,=0.0927,=406.8867,=74.3508,=43.4662
2025-08-20,=5541.2700,=15875801379722.4922,=37.6564,=0.0992,=406.8867,=74.3550,=43.4810
2025-08-19,=5542.0300,=15918641615810.1055,=38.9122,=0.1065,=406.8867,=74.4306,=43.4903
2025-08-18,=5579.1800,=15924035464087.7813,=39.4047,=0.1090,=406.8867,=74.5062,=43.5107
2025-08-15,=5543.1700,=15895064349491.7109,=40.3051,=0.1147,=411.2091,=74.5524,=43.5107
2025-08-14,=5576.0300,=15983417780147.7695,=41.1864,=0.1308,=411.2091,=74.5987,=43.5420
2025-08-13,=5630.7800,=16050366788891.5293,=41.8122,=0.1470,=411.2091,=74.6249,=43.5536
2025-08-12,=5439.1600,=15388701364754.6621,=39.1557,=0.1069,=411.2091,=74.6511,=43.5560
2025-08-11,=5460.0200,=15412643029962.2422,=38.8309,=0.1054,=411.2091,=74.7516,=43.6183
2025-08-08,=5460.3000,=15385501041487.2402,=39.3132,=0.1071,=415.9580,=74.8520,=43.6183
2025-08-07,=5546.7300,=15591669163153.6602,=40.2910,=0.1120,=415.9580,=74.9704,=43.6269
2025-08-06,=5532.1700,=15571101118408.3320,=39.8237,=0.1081,=415.9580,=75.0888,=43.6961
2025-08-05,=5521.0700,=15478817977933.4453,=40.2706,=0.1106,=415.9580,=75.1131,=43.7007
2025-08-04,=5481.2500,=15364088509373.6953,=38.3068,=0.1034,=415.9580,=75.1374,=43.7195
2025-08-01,=5397.4000,=15137684381290.5508,=37.8716,=0.1002,=416.7238,=75.1484,=43.7195
2025-07-31,=5453.1400,=15298614487998.6621,=39.9525,=0.1068,=416.7238,=75.1594,=43.7201
2025-07-30,=5490.7600,=15483545002304.8262,=40.3517,=0.1093,=416.7238,=75.1749,=43.7584
2025-07-29,=5644.3800,=15807120414287.9063,=40.5448,=0.1126,=416.7238,=75.1904,=43.7729
2025-07-28,=5664.0200,=15858005316966.2598,=40.3105,=0.1087,=416.7238,=75.2886,=43.7936
2025-07-25,=5677.9000,=15807557982730.8008,=40.4827,=0.1104,=417.2303,=75.3869,=43.7936
2025-07-24,=5743,=16016278715277.6211,=41.3127,=0.1243,=417.2303,=75.4490,=43.8069
2025-07-23,=5745.7400,=16009637184707.2207,=41.0518,=0.1203,=417.2303,=75.5112,=43.8500
2025-07-22,=5606.8300,=15559630205642.7598,=40.9554,=0.1172,=417.2303,=75.5218,=43.8730
2025-07-21,=5585.5000,=15457767690232.3691,=41.7442,=0.1319,=417.2303,=75.5324,=43.8864
2025-07-18,=5538.8300,=15321497521754.4707,=41.6765,=0.1296,=425.3004,=75.5475,=43.8864
2025-07-17,=5448.8500,=15111320369232.7949,=41.8830,=0.1346,=425.3004,=75.5627,=43.8915
2025-07-16,=5418.4000,=15100576608379.4785,=41.3834,=0.1249,=425.3004,=75.6244,=43.9100
2025-07-15,=5431.2900,=15136564072785.6602,=40.8726,=0.1152,=425.3004,=75.6861,=43.9289
2025-07-14,=5283.5000,=14648430478593.4199,=39.9622,=0.1079,=425.3004,=75.9680,=43.9502
2025-07-11,=5248.4800,=14562072307673.2793,=42.0729,=0.1350,=427.2655,=76.2499,=43.9502
2025-07-10,=5216.6000,=14477128175284.2422,=43.6961,=0.1876,=427.2655,=76.2794,=43.9978
2025-07-09,=5231.9900,=14520135177238.1309,=43.7584,=0.1902,=427.2655,=76.3089,=44.0211
2025-07-08,=5325.9500,=14780946570835.5684,=45.4692,=0.2363,=427.2655,=76.3862,=44.0302
2025-07-07,=5229.5600,=14587250373394.1113,=43.9978,=0.1987,=427.2655,=76.4636,=44.0302
