date,ps,rf,psy
2020-07-31,5.227332662447715,0.029664,0.16163815438245074
2020-08-31,5.81132064438263,0.030177,0.14190092534501178
2020-09-30,5.296227478717745,0.031482,0.15733164216668943
2020-10-31,5.871835843530807,0.03181,0.13849448851899232
2020-11-30,5.705521487919128,0.0325,0.14276881672734038
2020-12-31,5.472122199359346,0.031429,0.15131545700738847
2021-01-31,6.144032321001347,0.031786,0.13097356045703565
2021-02-28,6.327335776120356,0.032798,0.12524640215960153
2021-03-31,5.359044349246245,0.031887,0.15471343373976762
2021-04-30,5.487974223575819,0.03164,0.15057659928796577
2021-05-31,5.307441842827093,0.0304499999999999,0.15796468820830917
2021-06-30,5.451681359845862,0.030778,0.1526516493124964
2021-07-31,4.568328717555805,0.028363,0.19053543350305807
2021-08-31,4.556989380772584,0.02845,0.19099312712672192
2021-09-30,4.0172136259541995,0.028776,0.22015275836606082
2021-10-31,4.400890709259329,0.0297319999999999,0.19749472887468744
2021-11-30,4.077673356547718,0.02825,0.21698788753070458
2021-12-31,3.6922354884732784,0.0277539999999999,0.24308462963829958
2022-01-31,3.6117839536284473,0.026997,0.24987448867123863
2022-02-28,3.3522603521242202,0.02775,0.27055618596384734
2022-03-31,3.001774776170179,0.027878,0.30525825257250383
2022-04-30,2.952716395920036,0.028386,0.31028519828432094
2022-05-31,2.9475987298646635,0.027426,0.31183320440531404
2022-06-30,3.256147696940637,0.028205,0.27890637610236946
2022-07-31,2.8589450115561577,0.0275599999999999,0.32221937524432775
2022-08-31,2.883977729728359,0.026225,0.32051831555749905
2022-09-30,2.3143812780825646,0.027601,0.40447992351511214
2022-10-31,1.8020784724556338,0.0264329999999999,0.528481791605791
2022-11-30,2.4118485474359677,0.0288499999999999,0.385769732678944
2022-12-31,2.572000149105158,0.028353,0.36044946579609133
2023-01-31,2.955977310977286,0.028977,0.3093205898652573
2023-02-28,2.5409708236960062,0.029017,0.36453336692055965
2023-03-31,2.7587654473988437,0.0285279999999999,0.3339529789258706
2023-04-30,2.470287751767685,0.027788,0.377023139627123
2023-05-31,2.293331576655474,0.02685,0.4091968456368486
2023-06-30,2.3846835600495035,0.026351,0.39299184982416746
2023-07-31,2.717350278357489,0.026597,0.3414085559875973
2023-08-31,2.4753876114640705,0.025575,0.37840213690121804
2023-09-30,2.296102860444428,0.026751,0.4087695584328406
2023-10-31,2.1786202328494424,0.026938,0.4320681108044005
2023-11-30,2.233754550629116,0.02668,0.4209967600622725
2023-12-31,2.0920035572622626,0.025553,0.4524576594601912
2024-01-31,1.8010854120983952,0.0243299999999999,0.5308907537092468
2024-02-29,1.978035030175968,0.023375,0.4821772196242597
2024-03-31,1.978183357863761,0.0229009999999999,0.48261331242445576
2024-04-30,2.1452054698778533,0.023028,0.44312781306388305
2024-05-31,2.171020080996039,0.022926,0.4376869665743172
2024-06-30,1.958718308062911,0.022058,0.48847993487485064
2024-07-31,1.9579810677940985,0.021494,0.48923616815561977
2024-08-31,2.0174482982715163,0.0217039999999999,0.4739716516916778
2024-09-30,2.483395803417431,0.021518,0.38115643418559697
2024-10-31,2.433794819346346,0.021476,0.38940497979786726
2024-11-30,2.323310539575554,0.020206,0.41021429163380385
2024-12-31,2.2922619001892266,0.016752,0.4194983254612616
2025-01-31,2.3428727099108255,0.0162989999999999,0.4105274322554947
2025-02-28,2.831831837121066,0.017152,0.3359763132322692
2025-03-31,2.6770812923965206,0.018129,0.3554121408089147
2025-04-30,2.536637127918961,0.016243,0.37797972464347035
2025-05-31,2.624189999814613,0.016712,0.36435796828379247
2025-06-30,2.634420610880419,0.016469,0.36312110640514295
2025-07-31,2.7291282229227294,0.017044,0.34937337518989164
2025-08-31,2.867883768839782,0.018379,0.3303101661598111
2025-09-30,3.2276543789260748,0.018605,0.29121751585832006
2025-10-31,2.9898478450000794,0.017954,0.31651118078580465
2025-11-30,2.8522943346426346,0.0184119999999999,0.332182953632403
2025-12-31,2.770466687530231,0.018473,0.3424770177356268
2026-01-31,2.940210674184328,0.018112,0.32199968273763907
2026-02-28,2.6568254976164174,0.017753,0.35863604056632786
2026-03-31,2.3908559463433168,0.018171,0.4000892475608977
2026-04-30,2.445441712939503,0.017473,0.39145107891332087
2026-05-31,2.4447799007272404,0.01709,0.39194477638315556
2026-06-30,2.2844903599315165,0.01733,0.42040439255396006
2026-07-31,2.4292839310022782,0.017141,0.3945029364036867
